item_id,model_id,mode,NF4,BF16
clinical_astra_b03_004,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_004,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_004,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,0.0
clinical_astra_b03_004,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_005,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_005,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b03_005,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_005,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_005,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_005,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_005,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_006,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_006,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b03_006,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_006,google/gemma-3-27b-it,no_rag,0.0,1.0
clinical_astra_b03_006,google/gemma-4-12B-it,no_rag,1.0,0.0
clinical_astra_b03_006,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_006,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_006,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_007,google/gemma-3-12b-it,no_rag,1.0,0.0
clinical_astra_b03_007,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_007,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_007,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_007,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_008,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_008,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b03_008,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_008,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_008,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_008,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_008,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_008,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_009,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_009,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b03_009,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_009,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_009,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_010,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_010,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b03_010,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_010,google/gemma-3-27b-it,no_rag,0.0,1.0
clinical_astra_b03_010,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_010,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_010,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_010,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_011,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_011,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b03_011,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_011,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_011,meta-llama/Llama-3.2-1B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_011,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_012,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_012,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b03_012,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_012,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_012,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_012,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_012,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_012,microsoft/phi-4,no_rag,1.0,1.0
